,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
40,PMP2_ENSTGUG00000011663.2,4.8459778151379975,1.015554245808743,0.09804908934403464,110.9418428153092,6.093224936412072e-26,4.569918702309053e-24,PMP2_ENSTGUG00000011663.2,oligodendrocytes 1,10
41,_ENSTGUG00000019689.1,47.19616767646093,-0.7575115851686081,0.11621101136418766,37.31020026999681,1.0075623413085787e-09,2.518905853271447e-08,_ENSTGUG00000019689.1,oligodendrocytes 1,10
42,HMOX1_ENSTGUG00000010842.2,5.464175200726515,-0.923925841299856,0.12855466366715684,50.655302498665954,1.1009859372041486e-12,3.096522948386669e-11,HMOX1_ENSTGUG00000010842.2,oligodendrocytes 1,10
43,APOD_ENSTGUG00000008991.2,1.7723908269213917,2.3025800731373094,0.3564822406881681,31.805908723748413,1.7037364925580082e-08,3.833407108255517e-07,APOD_ENSTGUG00000008991.2,oligodendrocytes 1,10
44,PLAAT1_ENSTGUG00000009218.2,8.44222552850277,-1.0913617062346264,0.13203685758087094,63.77782955061616,1.392721526665431e-15,5.222705724995366e-14,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
45,SFTPC_ENSTGUG00000023951.1,8.859081823758878,1.295721032812163,0.15376112242690587,62.09982417368065,3.264805629054251e-15,1.0494018093388666e-13,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
46,_ENSTGUG00000029183.1,2.3165313927601625,-2.139043136920032,0.2438423583589141,73.42115273506147,1.0473760912488103e-17,4.713192410619646e-16,_ENSTGUG00000029183.1,oligodendrocytes 1,10
47,_ENSTGUG00000024606.1,7.098751054574525,-5.051516942850054,0.3992851606333823,103.35018252107339,2.8084868318885527e-24,1.579773842937311e-22,_ENSTGUG00000024606.1,oligodendrocytes 1,10
48,_ENSTGUG00000027913.1,22.08222986058356,6.975871725281412,0.28031042907182185,1059.1492688530386,2.4986815570220104e-232,5.622033503299524e-230,_ENSTGUG00000027913.1,oligodendrocytes 1,10
49,_ENSTGUG00000023828.1,3.2815294003399265,-8.386069662653373,1.0541986372455636,312.15362421927836,7.414422062580125e-70,8.34122482040264e-68,_ENSTGUG00000023828.1,oligodendrocytes 1,10
50,PMP2_ENSTGUG00000011663.2,6.363992908302476,0.9211151449195188,0.0848158388030775,124.62456041679549,6.149520548800278e-29,4.612140411600208e-27,PMP2_ENSTGUG00000011663.2,oligodendrocytes 1,10
51,_ENSTGUG00000019689.1,50.07164944067917,-0.6917044041232462,0.116665716225658,30.91233330884484,2.699507850567695e-08,6.073892663777313e-07,_ENSTGUG00000019689.1,oligodendrocytes 1,10
52,HMOX1_ENSTGUG00000010842.2,5.454641601748049,-0.8763818499105733,0.14184657838078096,36.485947031840404,1.53770905109882e-09,4.3248067062154314e-08,HMOX1_ENSTGUG00000010842.2,oligodendrocytes 1,10
53,PLAAT1_ENSTGUG00000009218.2,9.391696721732673,-0.9641796946442412,0.14377773970518806,40.19857521928021,2.294155029791153e-10,7.3740697386144225e-09,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
54,_ENSTGUG00000000842.2,2.6603255232613443,2.2630102449074467,0.3272026827741471,34.673378355149005,3.899275870265416e-09,9.748189675663537e-08,_ENSTGUG00000000842.2,oligodendrocytes 1,10
55,SFTPC_ENSTGUG00000023951.1,9.626660831494863,1.418825110983451,0.1445820386028281,87.3300400729263,9.18423252078721e-21,4.1329046343542437e-19,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
56,_ENSTGUG00000029183.1,2.239750666575996,-2.380419086461728,0.32412475746192104,41.71101564526157,1.0581114383384426e-10,3.967917893769161e-09,_ENSTGUG00000029183.1,oligodendrocytes 1,10
57,_ENSTGUG00000024606.1,7.1971781099223975,-5.2924498415670564,0.43632016853666217,89.98997852242631,2.3936941516645904e-21,1.346452960311332e-19,_ENSTGUG00000024606.1,oligodendrocytes 1,10
58,_ENSTGUG00000027913.1,24.590307034562702,7.921307894328482,0.3403501652028417,1528.9108832247337,0.0,0.0,_ENSTGUG00000027913.1,oligodendrocytes 1,10
59,_ENSTGUG00000023828.1,3.3603652993822117,-9.180194749409788,1.2884462481528989,178.05202031599978,1.2904935619089922e-40,1.451805257147616e-38,_ENSTGUG00000023828.1,oligodendrocytes 1,10
60,CLU_ENSTGUG00000028547.1,1.5214076908093337,-2.127968369242659,0.3305642870468237,36.379586024897044,1.6239524372864105e-09,1.0393295598633026e-07,CLU_ENSTGUG00000028547.1,oligodendrocytes 1,10
61,_ENSTGUG00000019689.1,48.71691129413124,-0.7124382668451615,0.10721260441520823,39.50624045149039,3.270127333463788e-10,2.391864563904942e-08,_ENSTGUG00000019689.1,oligodendrocytes 1,10
62,HMOX1_ENSTGUG00000010842.2,5.768825553266701,-0.7926525154029369,0.13729549557892776,31.592949531474343,1.901185912782889e-08,9.734071873448394e-07,HMOX1_ENSTGUG00000010842.2,oligodendrocytes 1,10
63,PLAAT1_ENSTGUG00000009218.2,8.837028720056297,-0.9468925068466594,0.1355594592101251,44.617900073218145,2.394920534594073e-11,2.2602877419160838e-09,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
64,TMSB15B_ENSTGUG00000006515.2,24.878862293368268,1.0979148214293213,0.14940210956511898,44.420656625702115,2.6487746975579113e-11,2.2602877419160838e-09,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
65,_ENSTGUG00000000842.2,1.8171176916838316,2.2764106746923254,0.34382579454768475,34.01198019281219,5.4773781923674074e-09,3.1160195938801253e-07,_ENSTGUG00000000842.2,oligodendrocytes 1,10
66,SFTPC_ENSTGUG00000023951.1,9.137937262052985,1.5900134918027975,0.15182266621435794,97.15702549380352,6.404164494006442e-23,1.0929774069770996e-20,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
67,_ENSTGUG00000024606.1,7.728007152386807,-4.551789634309832,0.37107735969297984,93.19593547418005,4.736528509991009e-22,6.062756492788491e-20,_ENSTGUG00000024606.1,oligodendrocytes 1,10
68,_ENSTGUG00000027913.1,23.765648125176664,6.979807399556116,0.27331400125420063,1020.5079096274004,6.260808202670328e-224,3.205533799767208e-221,_ENSTGUG00000027913.1,oligodendrocytes 1,10
69,_ENSTGUG00000023828.1,3.570419439141525,-9.547767102175618,1.481311328732713,360.65659003292495,2.0258800446645862e-80,5.186252914341342e-78,_ENSTGUG00000023828.1,oligodendrocytes 1,10
70,PMP2_ENSTGUG00000011663.2,3.211475866911913,4.137942309813623,0.2521650728476113,621.2663130704491,3.965875925938796e-137,4.461610416681145e-135,PMP2_ENSTGUG00000011663.2,oligodendrocytes 1,10
71,_ENSTGUG00000019689.1,48.454502733685686,-0.833587657093705,0.10230714295201276,59.74832294969543,1.0779698942682943e-14,4.0423871035061027e-13,_ENSTGUG00000019689.1,oligodendrocytes 1,10
72,APOD_ENSTGUG00000008991.2,2.4489355161851,2.4005154863538416,0.3393423579909033,37.50064935159571,9.138255559059913e-10,2.2845638897649782e-08,APOD_ENSTGUG00000008991.2,oligodendrocytes 1,10
73,PLAAT1_ENSTGUG00000009218.2,9.042017324975259,-1.0961834809613755,0.13914091241083346,56.673230897969006,5.1459319518439316e-14,1.4472933614561058e-12,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
74,SFTPC_ENSTGUG00000023951.1,9.241965617465254,1.4846065226628993,0.1563801297744742,79.01654986601716,6.15918020156606e-19,2.771631090704727e-17,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
75,_ENSTGUG00000029183.1,2.3297823436773712,-2.4353470539678117,0.2928212598512874,58.538236345877294,1.9937822023912516e-14,6.408585650543308e-13,_ENSTGUG00000029183.1,oligodendrocytes 1,10
76,_ENSTGUG00000024606.1,7.795752821909111,-4.705980038874079,0.3758943089549708,97.19188851505908,6.292390850190947e-23,3.539469853232407e-21,_ENSTGUG00000024606.1,oligodendrocytes 1,10
77,_ENSTGUG00000027913.1,24.0110944193433,7.144385495403365,0.2854207205262917,1095.4756016601573,3.178620890638824e-240,7.151897003937357e-238,_ENSTGUG00000027913.1,oligodendrocytes 1,10
78,_ENSTGUG00000023828.1,3.4632771521111487,-21.253802724273825,82.13492193534712,224.9923117957319,7.370334679779015e-51,5.527751009834261e-49,_ENSTGUG00000023828.1,oligodendrocytes 1,10
79,PMP2_ENSTGUG00000011663.2,3.7093540570259353,1.1553770826729972,0.11450367341042965,110.42265476505995,7.91750658913144e-26,5.938129941848581e-24,PMP2_ENSTGUG00000011663.2,oligodendrocytes 1,10
80,_ENSTGUG00000019689.1,48.90727978312253,-0.702535211487979,0.10563644193889273,39.788619896010225,2.8298917957342936e-10,9.09608077200309e-09,_ENSTGUG00000019689.1,oligodendrocytes 1,10
81,PLAAT1_ENSTGUG00000009218.2,8.755330728338784,-0.8852346261971015,0.1337562979646773,40.37885525247839,2.0919289227623386e-10,7.844733460358768e-09,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
82,TMSB15B_ENSTGUG00000006515.2,22.67465953795666,1.0555237059328244,0.15349680133771745,38.636461631191885,5.105617230701345e-10,1.435954846134753e-08,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
83,SFTPC_ENSTGUG00000023951.1,9.378726174472362,1.4781668330692974,0.1682724092772524,65.22761038296358,6.672803076222433e-16,3.002761384300094e-14,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
84,PNMT_ENSTGUG00000002234.2,1.835374834473137,-7.749304581973367,1.3132909633565937,30.51105646639041,3.319691616565097e-08,8.29922904141274e-07,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,10
85,_ENSTGUG00000024606.1,8.437902987200872,-5.201521719880248,0.4240274498466778,80.65852717350367,2.6829428260249485e-19,1.5091553396390338e-17,_ENSTGUG00000024606.1,oligodendrocytes 1,10
86,_ENSTGUG00000027913.1,26.11442513570401,7.186811531166183,0.2818891707429801,1137.451194465154,2.394440791681475e-249,5.3874917812833186e-247,_ENSTGUG00000027913.1,oligodendrocytes 1,10
87,_ENSTGUG00000023828.1,3.572104627327489,-7.861999306066282,0.849741823430414,209.66660831062782,1.624062322026172e-47,1.827070112279444e-45,_ENSTGUG00000023828.1,oligodendrocytes 1,10
