GeneNames,control,experiment,logFC,p-value
CCNE2_ENSTGUG00000011936.2,0.004715576,0.0056689335,-0.00095335767,0.3217758891405186
ANKS6_ENSTGUG00000008519.2,0.030701071,0.037655745,-0.0069546737,0.010321911089462683
_ENSTGUG00000028229.1,0.015519604,0.020813333,-0.005293729,0.0022482388452825615
TP53INP1_ENSTGUG00000025034.1,0.073964335,0.05728165,0.016682684,5.230427830350251e-06
RUNX1T1_ENSTGUG00000011844.2,0.21442918,0.21067977,0.0037494153,0.5752379312876703
_ENSTGUG00000028902.1,0.061309416,0.06378152,-0.0024721064,0.4102745234213573
BBS9_ENSTGUG00000005294.2,0.037933685,0.040230587,-0.0022969022,0.41792082241616446
NDUFAF6_ENSTGUG00000011949.2,0.038600553,0.0354065,0.0031940527,0.2577530509786836
_ENSTGUG00000019348.1,0.003924319,0.005540312,-0.0016159927,0.03707979441912004
_ENSTGUG00000022346.1,0.004301252,0.009668908,-0.0053676562,3.1966640827918354e-06
TRIQK_ENSTGUG00000022552.1,0.031422436,0.032393396,-0.00097095966,0.7184928948151743
_ENSTGUG00000023745.1,6.2651154e-05,0.0007510197,-0.0006883685,0.00574373646826921
PLEKHF2_ENSTGUG00000029266.1,0.022759555,0.03238485,-0.009625295,6.293079834920613e-05
ZNF622_ENSTGUG00000007377.2,0.17542434,0.20245798,-0.027033642,1.708386817489369e-05
CIBAR1_ENSTGUG00000011854.2,0.1687077,0.17971614,-0.011008441,0.06237863756617874
C8orf37_ENSTGUG00000011955.2,0.06083891,0.055045016,0.0057938956,0.10086748118003652
GALNT12_ENSTGUG00000008525.2,0.0011025472,0.0022935863,-0.0011910391,0.03072102800479009
NFATC1_ENSTGUG00000006621.2,0.018415365,0.029542211,-0.011126846,3.139618947068072e-07
TAX1BP1_ENSTGUG00000002932.2,0.51693326,0.5829196,-0.065986335,1.5369710830434108e-10
RBM12B_ENSTGUG00000011860.2,0.14104906,0.14938365,-0.008334592,0.10323626671546687
_ENSTGUG00000020330.1,0.0009808826,0.0017591385,-0.000778256,0.13977652441840585
_ENSTGUG00000019928.1,5.0121907e-05,0.00014307995,-9.295804e-05,0.5397699931556305
_ENSTGUG00000022136.1,0.0002594611,0.00060510583,-0.00034564472,0.14619912131161394
_ENSTGUG00000026470.1,0.0062623494,0.0056035253,0.0006588241,0.5459904192128399
TMEM67_ENSTGUG00000011862.2,0.09252089,0.08110708,0.011413813,0.007082877353117095
GDF6_ENSTGUG00000029532.1,0.0,0.00014418889,-0.00014418889,0.17183158186576994
MARCHF11_ENSTGUG00000007392.2,0.0014671544,0.0019182254,-0.00045107107,0.4663515268789089
GABBR2_ENSTGUG00000008527.2,0.47636238,0.42016524,0.056197137,1.5999468285713083e-07
UQCRB_ENSTGUG00000011958.2,0.8459499,0.84360635,0.0023435354,0.8490892956846713
FBXL7_ENSTGUG00000027230.1,0.11666487,0.13716365,-0.020498782,5.988397308354545e-05
