,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
PLCL2_ENSTGUG00000003154.2,0.0,,,,,,PLCL2_ENSTGUG00000003154.2,radial glia 1
KCNS2_ENSTGUG00000022432.1,0.0,,,,,,KCNS2_ENSTGUG00000022432.1,radial glia 1
CSMD3_ENSTGUG00000012272.2,0.0,,,,,,CSMD3_ENSTGUG00000012272.2,radial glia 1
ELMO1_ENSTGUG00000005533.2,0.0,,,,,,ELMO1_ENSTGUG00000005533.2,radial glia 1
ADCY2_ENSTGUG00000007740.2,0.0,,,,,,ADCY2_ENSTGUG00000007740.2,radial glia 1
_ENSTGUG00000027521.1,0.0,,,,,,_ENSTGUG00000027521.1,radial glia 1
NR4A3_ENSTGUG00000008853.2,0.0,,,,,,NR4A3_ENSTGUG00000008853.2,radial glia 1
EPDR1_ENSTGUG00000025037.1,0.0,,,,,,EPDR1_ENSTGUG00000025037.1,radial glia 1
NSUN2_ENSTGUG00000007789.2,0.0,,,,,,NSUN2_ENSTGUG00000007789.2,radial glia 1
ALG2_ENSTGUG00000008879.2,0.0,,,,,,ALG2_ENSTGUG00000008879.2,radial glia 1
STARD3NL_ENSTGUG00000005634.2,0.0,,,,,,STARD3NL_ENSTGUG00000005634.2,radial glia 1
IFI6_ENSTGUG00000021692.1,3.0,-4.403135684060376,4.556165779660913,0.6424673848589819,0.42281873117779484,1.0,IFI6_ENSTGUG00000021692.1,radial glia 1
TRANK1_ENSTGUG00000005694.2,0.0,,,,,,TRANK1_ENSTGUG00000005694.2,radial glia 1
RNF19A_ENSTGUG00000012061.2,0.0,,,,,,RNF19A_ENSTGUG00000012061.2,radial glia 1
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1,radial glia 1
_ENSTGUG00000027473.1,0.0,,,,,,_ENSTGUG00000027473.1,radial glia 1
ARPP21_ENSTGUG00000001697.2,0.0,,,,,,ARPP21_ENSTGUG00000001697.2,radial glia 1
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1,radial glia 1
NCALD_ENSTGUG00000022354.1,0.0,,,,,,NCALD_ENSTGUG00000022354.1,radial glia 1
RRM2B_ENSTGUG00000012093.2,0.0,,,,,,RRM2B_ENSTGUG00000012093.2,radial glia 1
UPP1_ENSTGUG00000007854.2,0.0,,,,,,UPP1_ENSTGUG00000007854.2,radial glia 1
VWC2_ENSTGUG00000007906.2,0.0,,,,,,VWC2_ENSTGUG00000007906.2,radial glia 1
IKZF1_ENSTGUG00000007910.2,0.0,,,,,,IKZF1_ENSTGUG00000007910.2,radial glia 1
C6orf62_ENSTGUG00000029400.1,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,C6orf62_ENSTGUG00000029400.1,radial glia 1
SLC4A7_ENSTGUG00000003545.2,0.0,,,,,,SLC4A7_ENSTGUG00000003545.2,radial glia 1
GALR1_ENSTGUG00000024217.1,0.0,,,,,,GALR1_ENSTGUG00000024217.1,radial glia 1
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2,radial glia 1
FBXL2_ENSTGUG00000001755.2,0.0,,,,,,FBXL2_ENSTGUG00000001755.2,radial glia 1
_ENSTGUG00000006931.2,0.0,,,,,,_ENSTGUG00000006931.2,radial glia 1
CHPF2_ENSTGUG00000000042.2,0.0,,,,,,CHPF2_ENSTGUG00000000042.2,radial glia 1
MBP_ENSTGUG00000009051.2,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,MBP_ENSTGUG00000009051.2,radial glia 1
GBX1_ENSTGUG00000023874.1,0.0,,,,,,GBX1_ENSTGUG00000023874.1,radial glia 1
AGAP3_ENSTGUG00000000055.2,0.0,,,,,,AGAP3_ENSTGUG00000000055.2,radial glia 1
TMUB1_ENSTGUG00000023430.1,0.0,,,,,,TMUB1_ENSTGUG00000023430.1,radial glia 1
VSTM2A_ENSTGUG00000023664.1,0.0,,,,,,VSTM2A_ENSTGUG00000023664.1,radial glia 1
_ENSTGUG00000024951.1,0.0,,,,,,_ENSTGUG00000024951.1,radial glia 1
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1,radial glia 1
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1,radial glia 1
SLC4A2_ENSTGUG00000000073.2,0.0,,,,,,SLC4A2_ENSTGUG00000000073.2,radial glia 1
RAMP3_ENSTGUG00000025072.1,0.0,,,,,,RAMP3_ENSTGUG00000025072.1,radial glia 1
ADCY1_ENSTGUG00000007142.2,0.0,,,,,,ADCY1_ENSTGUG00000007142.2,radial glia 1
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1,radial glia 1
ABCB8_ENSTGUG00000020909.1,0.0,,,,,,ABCB8_ENSTGUG00000020909.1,radial glia 1
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2,radial glia 1
GADL1_ENSTGUG00000003593.2,0.0,,,,,,GADL1_ENSTGUG00000003593.2,radial glia 1
CNTNAP2_ENSTGUG00000001794.2,0.0,,,,,,CNTNAP2_ENSTGUG00000001794.2,radial glia 1
ATG9B_ENSTGUG00000022627.1,0.0,,,,,,ATG9B_ENSTGUG00000022627.1,radial glia 1
FHOD3_ENSTGUG00000007999.2,0.0,,,,,,FHOD3_ENSTGUG00000007999.2,radial glia 1
_ENSTGUG00000024876.1,0.0,,,,,,_ENSTGUG00000024876.1,radial glia 1
TSHZ1_ENSTGUG00000009111.2,0.0,,,,,,TSHZ1_ENSTGUG00000009111.2,radial glia 1
ZNF407_ENSTGUG00000009124.2,0.0,,,,,,ZNF407_ENSTGUG00000009124.2,radial glia 1
CDH9_ENSTGUG00000001934.2,0.0,,,,,,CDH9_ENSTGUG00000001934.2,radial glia 1
CDH6_ENSTGUG00000001940.2,0.0,,,,,,CDH6_ENSTGUG00000001940.2,radial glia 1
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2,radial glia 1
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1,radial glia 1
DIPK1C_ENSTGUG00000009165.2,0.0,,,,,,DIPK1C_ENSTGUG00000009165.2,radial glia 1
METTL4_ENSTGUG00000010144.2,0.0,,,,,,METTL4_ENSTGUG00000010144.2,radial glia 1
CYB5A_ENSTGUG00000009166.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,CYB5A_ENSTGUG00000009166.2,radial glia 1
ADCYAP1_ENSTGUG00000021936.1,0.0,,,,,,ADCYAP1_ENSTGUG00000021936.1,radial glia 1
LANCL2_ENSTGUG00000020824.1,0.0,,,,,,LANCL2_ENSTGUG00000020824.1,radial glia 1
