,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
SEMA5A_ENSTGUG00000007664.2,0.0,,,,,,SEMA5A_ENSTGUG00000007664.2,red blood cells
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2,red blood cells
PLCL2_ENSTGUG00000003154.2,0.0,,,,,,PLCL2_ENSTGUG00000003154.2,red blood cells
KCNS2_ENSTGUG00000022432.1,0.0,,,,,,KCNS2_ENSTGUG00000022432.1,red blood cells
CSMD3_ENSTGUG00000012272.2,0.0,,,,,,CSMD3_ENSTGUG00000012272.2,red blood cells
ELMO1_ENSTGUG00000005533.2,0.0,,,,,,ELMO1_ENSTGUG00000005533.2,red blood cells
ADCY2_ENSTGUG00000007740.2,0.0,,,,,,ADCY2_ENSTGUG00000007740.2,red blood cells
_ENSTGUG00000027521.1,0.0,,,,,,_ENSTGUG00000027521.1,red blood cells
NR4A3_ENSTGUG00000008853.2,0.0,,,,,,NR4A3_ENSTGUG00000008853.2,red blood cells
EPDR1_ENSTGUG00000025037.1,0.0,,,,,,EPDR1_ENSTGUG00000025037.1,red blood cells
NSUN2_ENSTGUG00000007789.2,0.0,,,,,,NSUN2_ENSTGUG00000007789.2,red blood cells
ALG2_ENSTGUG00000008879.2,0.0,,,,,,ALG2_ENSTGUG00000008879.2,red blood cells
STARD3NL_ENSTGUG00000005634.2,0.0,,,,,,STARD3NL_ENSTGUG00000005634.2,red blood cells
IFI6_ENSTGUG00000021692.1,1.6266629698686184,-17.048378727076486,191.78829540661167,4.010906026688289,0.04520685137868694,0.5424822165442433,IFI6_ENSTGUG00000021692.1,red blood cells
TRANK1_ENSTGUG00000005694.2,0.0,,,,,,TRANK1_ENSTGUG00000005694.2,red blood cells
RNF19A_ENSTGUG00000012061.2,0.0,,,,,,RNF19A_ENSTGUG00000012061.2,red blood cells
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1,red blood cells
_ENSTGUG00000027473.1,0.0,,,,,,_ENSTGUG00000027473.1,red blood cells
ARPP21_ENSTGUG00000001697.2,0.0,,,,,,ARPP21_ENSTGUG00000001697.2,red blood cells
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1,red blood cells
NCALD_ENSTGUG00000022354.1,0.0,,,,,,NCALD_ENSTGUG00000022354.1,red blood cells
RRM2B_ENSTGUG00000012093.2,0.0,,,,,,RRM2B_ENSTGUG00000012093.2,red blood cells
UPP1_ENSTGUG00000007854.2,0.0,,,,,,UPP1_ENSTGUG00000007854.2,red blood cells
VWC2_ENSTGUG00000007906.2,0.0,,,,,,VWC2_ENSTGUG00000007906.2,red blood cells
IKZF1_ENSTGUG00000007910.2,0.0,,,,,,IKZF1_ENSTGUG00000007910.2,red blood cells
C6orf62_ENSTGUG00000029400.1,0.0,,,,,,C6orf62_ENSTGUG00000029400.1,red blood cells
SLC4A7_ENSTGUG00000003545.2,0.0,,,,,,SLC4A7_ENSTGUG00000003545.2,red blood cells
GALR1_ENSTGUG00000024217.1,0.0,,,,,,GALR1_ENSTGUG00000024217.1,red blood cells
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2,red blood cells
FBXL2_ENSTGUG00000001755.2,0.0,,,,,,FBXL2_ENSTGUG00000001755.2,red blood cells
_ENSTGUG00000006931.2,0.0,,,,,,_ENSTGUG00000006931.2,red blood cells
CHPF2_ENSTGUG00000000042.2,0.0,,,,,,CHPF2_ENSTGUG00000000042.2,red blood cells
MBP_ENSTGUG00000009051.2,0.5436677323587007,0.21133185022121018,3.4556643244549394,0.002016073466393209,0.964186453511587,0.9917346378976323,MBP_ENSTGUG00000009051.2,red blood cells
GBX1_ENSTGUG00000023874.1,0.0,,,,,,GBX1_ENSTGUG00000023874.1,red blood cells
AGAP3_ENSTGUG00000000055.2,0.0,,,,,,AGAP3_ENSTGUG00000000055.2,red blood cells
TMUB1_ENSTGUG00000023430.1,0.0,,,,,,TMUB1_ENSTGUG00000023430.1,red blood cells
VSTM2A_ENSTGUG00000023664.1,0.0,,,,,,VSTM2A_ENSTGUG00000023664.1,red blood cells
_ENSTGUG00000024951.1,0.0,,,,,,_ENSTGUG00000024951.1,red blood cells
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1,red blood cells
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1,red blood cells
SLC4A2_ENSTGUG00000000073.2,0.0,,,,,,SLC4A2_ENSTGUG00000000073.2,red blood cells
RAMP3_ENSTGUG00000025072.1,0.0,,,,,,RAMP3_ENSTGUG00000025072.1,red blood cells
ADCY1_ENSTGUG00000007142.2,0.0,,,,,,ADCY1_ENSTGUG00000007142.2,red blood cells
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1,red blood cells
ABCB8_ENSTGUG00000020909.1,0.0,,,,,,ABCB8_ENSTGUG00000020909.1,red blood cells
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2,red blood cells
GADL1_ENSTGUG00000003593.2,0.0,,,,,,GADL1_ENSTGUG00000003593.2,red blood cells
CNTNAP2_ENSTGUG00000001794.2,0.0,,,,,,CNTNAP2_ENSTGUG00000001794.2,red blood cells
ATG9B_ENSTGUG00000022627.1,0.0,,,,,,ATG9B_ENSTGUG00000022627.1,red blood cells
FHOD3_ENSTGUG00000007999.2,0.0,,,,,,FHOD3_ENSTGUG00000007999.2,red blood cells
_ENSTGUG00000024876.1,0.0,,,,,,_ENSTGUG00000024876.1,red blood cells
TSHZ1_ENSTGUG00000009111.2,0.0,,,,,,TSHZ1_ENSTGUG00000009111.2,red blood cells
ZNF407_ENSTGUG00000009124.2,0.0,,,,,,ZNF407_ENSTGUG00000009124.2,red blood cells
CDH9_ENSTGUG00000001934.2,0.0,,,,,,CDH9_ENSTGUG00000001934.2,red blood cells
CDH6_ENSTGUG00000001940.2,0.0,,,,,,CDH6_ENSTGUG00000001940.2,red blood cells
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2,red blood cells
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1,red blood cells
DIPK1C_ENSTGUG00000009165.2,0.0,,,,,,DIPK1C_ENSTGUG00000009165.2,red blood cells
METTL4_ENSTGUG00000010144.2,0.0,,,,,,METTL4_ENSTGUG00000010144.2,red blood cells
CYB5A_ENSTGUG00000009166.2,1.4731894294264827,0.18377197204480814,1.9964665914204216,0.008466014259880694,0.9266893425071481,0.983635411149021,CYB5A_ENSTGUG00000009166.2,red blood cells
ADCYAP1_ENSTGUG00000021936.1,0.0,,,,,,ADCYAP1_ENSTGUG00000021936.1,red blood cells
LANCL2_ENSTGUG00000020824.1,0.0,,,,,,LANCL2_ENSTGUG00000020824.1,red blood cells
TYMS_ENSTGUG00000010173.2,0.0,,,,,,TYMS_ENSTGUG00000010173.2,red blood cells
NOS3_ENSTGUG00000019554.1,0.0,,,,,,NOS3_ENSTGUG00000019554.1,red blood cells
C5orf22_ENSTGUG00000001970.2,0.0,,,,,,C5orf22_ENSTGUG00000001970.2,red blood cells
COLEC12_ENSTGUG00000010195.2,0.0,,,,,,COLEC12_ENSTGUG00000010195.2,red blood cells
MC4R_ENSTGUG00000027462.1,0.0,,,,,,MC4R_ENSTGUG00000027462.1,red blood cells
CDH20_ENSTGUG00000001975.2,0.0,,,,,,CDH20_ENSTGUG00000001975.2,red blood cells
NETO1_ENSTGUG00000009188.2,0.0,,,,,,NETO1_ENSTGUG00000009188.2,red blood cells
ABHD5_ENSTGUG00000003814.2,0.0,,,,,,ABHD5_ENSTGUG00000003814.2,red blood cells
CBLN2_ENSTGUG00000009205.2,0.0,,,,,,CBLN2_ENSTGUG00000009205.2,red blood cells
ANO10_ENSTGUG00000003830.2,0.0,,,,,,ANO10_ENSTGUG00000003830.2,red blood cells
STK17A_ENSTGUG00000029061.1,0.0,,,,,,STK17A_ENSTGUG00000029061.1,red blood cells
PIGN_ENSTGUG00000001988.2,0.0,,,,,,PIGN_ENSTGUG00000001988.2,red blood cells
HECW1_ENSTGUG00000001817.2,0.0,,,,,,HECW1_ENSTGUG00000001817.2,red blood cells
FRRS1L_ENSTGUG00000023938.1,0.0,,,,,,FRRS1L_ENSTGUG00000023938.1,red blood cells
DOK6_ENSTGUG00000009250.2,0.0,,,,,,DOK6_ENSTGUG00000009250.2,red blood cells
EPB41L4B_ENSTGUG00000008100.2,0.0,,,,,,EPB41L4B_ENSTGUG00000008100.2,red blood cells
RELCH_ENSTGUG00000001999.2,0.0,,,,,,RELCH_ENSTGUG00000001999.2,red blood cells
INHBA_ENSTGUG00000001843.2,0.0,,,,,,INHBA_ENSTGUG00000001843.2,red blood cells
RBBP8_ENSTGUG00000010362.2,0.0,,,,,,RBBP8_ENSTGUG00000010362.2,red blood cells
TNFRSF11A_ENSTGUG00000024912.1,0.0,,,,,,TNFRSF11A_ENSTGUG00000024912.1,red blood cells
TMEM241_ENSTGUG00000010387.2,0.0,,,,,,TMEM241_ENSTGUG00000010387.2,red blood cells
ZCCHC2_ENSTGUG00000024466.1,0.0,,,,,,ZCCHC2_ENSTGUG00000024466.1,red blood cells
_ENSTGUG00000008158.2,0.0,,,,,,_ENSTGUG00000008158.2,red blood cells
AOC1_ENSTGUG00000027317.1,0.0,,,,,,AOC1_ENSTGUG00000027317.1,red blood cells
EXT1_ENSTGUG00000012328.2,0.0,,,,,,EXT1_ENSTGUG00000012328.2,red blood cells
POU6F2_ENSTGUG00000001859.2,0.0,,,,,,POU6F2_ENSTGUG00000001859.2,red blood cells
FH_ENSTGUG00000008229.2,0.0,,,,,,FH_ENSTGUG00000008229.2,red blood cells
SERPINB5_ENSTGUG00000002060.2,0.0,,,,,,SERPINB5_ENSTGUG00000002060.2,red blood cells
_ENSTGUG00000008245.2,0.0,,,,,,_ENSTGUG00000008245.2,red blood cells
_ENSTGUG00000021399.1,0.0,,,,,,_ENSTGUG00000021399.1,red blood cells
TNFRSF11B_ENSTGUG00000012341.2,0.0,,,,,,TNFRSF11B_ENSTGUG00000012341.2,red blood cells
TTC39C_ENSTGUG00000010516.2,0.0,,,,,,TTC39C_ENSTGUG00000010516.2,red blood cells
OSBPL1A_ENSTGUG00000010525.2,0.0,,,,,,OSBPL1A_ENSTGUG00000010525.2,red blood cells
CCM2_ENSTGUG00000015039.2,0.0,,,,,,CCM2_ENSTGUG00000015039.2,red blood cells
COLEC10_ENSTGUG00000019400.1,0.0,,,,,,COLEC10_ENSTGUG00000019400.1,red blood cells
IMPACT_ENSTGUG00000010551.2,0.0,,,,,,IMPACT_ENSTGUG00000010551.2,red blood cells
CCN3_ENSTGUG00000012349.2,0.0,,,,,,CCN3_ENSTGUG00000012349.2,red blood cells
KLF10_ENSTGUG00000012120.2,0.0,,,,,,KLF10_ENSTGUG00000012120.2,red blood cells
WRNIP1_ENSTGUG00000002117.2,0.0,,,,,,WRNIP1_ENSTGUG00000002117.2,red blood cells
BAALC_ENSTGUG00000028617.1,0.0,,,,,,BAALC_ENSTGUG00000028617.1,red blood cells
AMPH_ENSTGUG00000001869.2,0.0,,,,,,AMPH_ENSTGUG00000001869.2,red blood cells
FZD6_ENSTGUG00000012145.2,0.0,,,,,,FZD6_ENSTGUG00000012145.2,red blood cells
ENPP2_ENSTGUG00000012352.2,0.0,,,,,,ENPP2_ENSTGUG00000012352.2,red blood cells
MYLK4_ENSTGUG00000019999.1,0.0,,,,,,MYLK4_ENSTGUG00000019999.1,red blood cells
_ENSTGUG00000023173.1,0.0,,,,,,_ENSTGUG00000023173.1,red blood cells
SCAP_ENSTGUG00000020198.1,0.0,,,,,,SCAP_ENSTGUG00000020198.1,red blood cells
ELP6_ENSTGUG00000000144.2,0.0,,,,,,ELP6_ENSTGUG00000000144.2,red blood cells
GMDS_ENSTGUG00000002124.2,0.0,,,,,,GMDS_ENSTGUG00000002124.2,red blood cells
RIMS2_ENSTGUG00000012161.2,0.0,,,,,,RIMS2_ENSTGUG00000012161.2,red blood cells
AQP4_ENSTGUG00000020250.1,0.0,,,,,,AQP4_ENSTGUG00000020250.1,red blood cells
_ENSTGUG00000002129.2,0.0,,,,,,_ENSTGUG00000002129.2,red blood cells
FOXQ1_ENSTGUG00000018779.1,0.0,,,,,,FOXQ1_ENSTGUG00000018779.1,red blood cells
_ENSTGUG00000010651.2,0.0,,,,,,_ENSTGUG00000010651.2,red blood cells
_ENSTGUG00000028219.1,0.0,,,,,,_ENSTGUG00000028219.1,red blood cells
POMGNT2_ENSTGUG00000003854.2,0.0,,,,,,POMGNT2_ENSTGUG00000003854.2,red blood cells
LRP12_ENSTGUG00000012185.2,0.0,,,,,,LRP12_ENSTGUG00000012185.2,red blood cells
_ENSTGUG00000001876.2,0.0,,,,,,_ENSTGUG00000001876.2,red blood cells
ZFPM2_ENSTGUG00000012190.2,0.0,,,,,,ZFPM2_ENSTGUG00000012190.2,red blood cells
