,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2,oligodendrocyte precursor cells
GADL1_ENSTGUG00000003593.2,0.0,,,,,,GADL1_ENSTGUG00000003593.2,oligodendrocyte precursor cells
CNTNAP2_ENSTGUG00000001794.2,0.5,0.0003335792350989073,6.570874720398849,-2.136211207925953e-09,1.0,1.0,CNTNAP2_ENSTGUG00000001794.2,oligodendrocyte precursor cells
ATG9B_ENSTGUG00000022627.1,0.0,,,,,,ATG9B_ENSTGUG00000022627.1,oligodendrocyte precursor cells
FHOD3_ENSTGUG00000007999.2,0.0,,,,,,FHOD3_ENSTGUG00000007999.2,oligodendrocyte precursor cells
_ENSTGUG00000024876.1,0.0,,,,,,_ENSTGUG00000024876.1,oligodendrocyte precursor cells
TSHZ1_ENSTGUG00000009111.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,TSHZ1_ENSTGUG00000009111.2,oligodendrocyte precursor cells
ZNF407_ENSTGUG00000009124.2,0.0,,,,,,ZNF407_ENSTGUG00000009124.2,oligodendrocyte precursor cells
CDH9_ENSTGUG00000001934.2,0.0,,,,,,CDH9_ENSTGUG00000001934.2,oligodendrocyte precursor cells
CDH6_ENSTGUG00000001940.2,0.0,,,,,,CDH6_ENSTGUG00000001940.2,oligodendrocyte precursor cells
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2,oligodendrocyte precursor cells
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1,oligodendrocyte precursor cells
DIPK1C_ENSTGUG00000009165.2,0.0,,,,,,DIPK1C_ENSTGUG00000009165.2,oligodendrocyte precursor cells
METTL4_ENSTGUG00000010144.2,0.0,,,,,,METTL4_ENSTGUG00000010144.2,oligodendrocyte precursor cells
CYB5A_ENSTGUG00000009166.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,CYB5A_ENSTGUG00000009166.2,oligodendrocyte precursor cells
ADCYAP1_ENSTGUG00000021936.1,0.0,,,,,,ADCYAP1_ENSTGUG00000021936.1,oligodendrocyte precursor cells
LANCL2_ENSTGUG00000020824.1,0.0,,,,,,LANCL2_ENSTGUG00000020824.1,oligodendrocyte precursor cells
TYMS_ENSTGUG00000010173.2,0.75,1.9860278190651337,4.671101811968941,0.13366247911703688,0.7146644741846436,1.0,TYMS_ENSTGUG00000010173.2,oligodendrocyte precursor cells
NOS3_ENSTGUG00000019554.1,0.0,,,,,,NOS3_ENSTGUG00000019554.1,oligodendrocyte precursor cells
C5orf22_ENSTGUG00000001970.2,0.0,,,,,,C5orf22_ENSTGUG00000001970.2,oligodendrocyte precursor cells
COLEC12_ENSTGUG00000010195.2,4.5,-0.9800424830907173,3.8236597499384235,0.06420630912002778,0.7999671333996087,1.0,COLEC12_ENSTGUG00000010195.2,oligodendrocyte precursor cells
MC4R_ENSTGUG00000027462.1,0.0,,,,,,MC4R_ENSTGUG00000027462.1,oligodendrocyte precursor cells
CDH20_ENSTGUG00000001975.2,0.0,,,,,,CDH20_ENSTGUG00000001975.2,oligodendrocyte precursor cells
NETO1_ENSTGUG00000009188.2,0.0,,,,,,NETO1_ENSTGUG00000009188.2,oligodendrocyte precursor cells
ABHD5_ENSTGUG00000003814.2,0.0,,,,,,ABHD5_ENSTGUG00000003814.2,oligodendrocyte precursor cells
CBLN2_ENSTGUG00000009205.2,0.0,,,,,,CBLN2_ENSTGUG00000009205.2,oligodendrocyte precursor cells
ANO10_ENSTGUG00000003830.2,0.0,,,,,,ANO10_ENSTGUG00000003830.2,oligodendrocyte precursor cells
STK17A_ENSTGUG00000029061.1,0.0,,,,,,STK17A_ENSTGUG00000029061.1,oligodendrocyte precursor cells
PIGN_ENSTGUG00000001988.2,0.0,,,,,,PIGN_ENSTGUG00000001988.2,oligodendrocyte precursor cells
HECW1_ENSTGUG00000001817.2,0.0,,,,,,HECW1_ENSTGUG00000001817.2,oligodendrocyte precursor cells
FRRS1L_ENSTGUG00000023938.1,0.0,,,,,,FRRS1L_ENSTGUG00000023938.1,oligodendrocyte precursor cells
DOK6_ENSTGUG00000009250.2,0.0,,,,,,DOK6_ENSTGUG00000009250.2,oligodendrocyte precursor cells
EPB41L4B_ENSTGUG00000008100.2,0.0,,,,,,EPB41L4B_ENSTGUG00000008100.2,oligodendrocyte precursor cells
RELCH_ENSTGUG00000001999.2,0.0,,,,,,RELCH_ENSTGUG00000001999.2,oligodendrocyte precursor cells
INHBA_ENSTGUG00000001843.2,0.0,,,,,,INHBA_ENSTGUG00000001843.2,oligodendrocyte precursor cells
RBBP8_ENSTGUG00000010362.2,0.0,,,,,,RBBP8_ENSTGUG00000010362.2,oligodendrocyte precursor cells
TNFRSF11A_ENSTGUG00000024912.1,0.0,,,,,,TNFRSF11A_ENSTGUG00000024912.1,oligodendrocyte precursor cells
TMEM241_ENSTGUG00000010387.2,0.0,,,,,,TMEM241_ENSTGUG00000010387.2,oligodendrocyte precursor cells
ZCCHC2_ENSTGUG00000024466.1,0.0,,,,,,ZCCHC2_ENSTGUG00000024466.1,oligodendrocyte precursor cells
_ENSTGUG00000008158.2,0.0,,,,,,_ENSTGUG00000008158.2,oligodendrocyte precursor cells
AOC1_ENSTGUG00000027317.1,0.0,,,,,,AOC1_ENSTGUG00000027317.1,oligodendrocyte precursor cells
EXT1_ENSTGUG00000012328.2,0.0,,,,,,EXT1_ENSTGUG00000012328.2,oligodendrocyte precursor cells
POU6F2_ENSTGUG00000001859.2,0.0,,,,,,POU6F2_ENSTGUG00000001859.2,oligodendrocyte precursor cells
FH_ENSTGUG00000008229.2,0.0,,,,,,FH_ENSTGUG00000008229.2,oligodendrocyte precursor cells
SERPINB5_ENSTGUG00000002060.2,0.0,,,,,,SERPINB5_ENSTGUG00000002060.2,oligodendrocyte precursor cells
_ENSTGUG00000008245.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,1.0,_ENSTGUG00000008245.2,oligodendrocyte precursor cells
_ENSTGUG00000021399.1,0.0,,,,,,_ENSTGUG00000021399.1,oligodendrocyte precursor cells
TNFRSF11B_ENSTGUG00000012341.2,0.0,,,,,,TNFRSF11B_ENSTGUG00000012341.2,oligodendrocyte precursor cells
TTC39C_ENSTGUG00000010516.2,0.0,,,,,,TTC39C_ENSTGUG00000010516.2,oligodendrocyte precursor cells
