,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
AGAP3_ENSTGUG00000000055.2,0.0,,,,,,AGAP3_ENSTGUG00000000055.2,microglia 3 / radial glia
TMUB1_ENSTGUG00000023430.1,0.0,,,,,,TMUB1_ENSTGUG00000023430.1,microglia 3 / radial glia
VSTM2A_ENSTGUG00000023664.1,0.0,,,,,,VSTM2A_ENSTGUG00000023664.1,microglia 3 / radial glia
_ENSTGUG00000024951.1,0.0,,,,,,_ENSTGUG00000024951.1,microglia 3 / radial glia
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1,microglia 3 / radial glia
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1,microglia 3 / radial glia
SLC4A2_ENSTGUG00000000073.2,0.0,,,,,,SLC4A2_ENSTGUG00000000073.2,microglia 3 / radial glia
RAMP3_ENSTGUG00000025072.1,0.0,,,,,,RAMP3_ENSTGUG00000025072.1,microglia 3 / radial glia
ADCY1_ENSTGUG00000007142.2,0.0,,,,,,ADCY1_ENSTGUG00000007142.2,microglia 3 / radial glia
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1,microglia 3 / radial glia
ABCB8_ENSTGUG00000020909.1,0.0,,,,,,ABCB8_ENSTGUG00000020909.1,microglia 3 / radial glia
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2,microglia 3 / radial glia
GADL1_ENSTGUG00000003593.2,0.0,,,,,,GADL1_ENSTGUG00000003593.2,microglia 3 / radial glia
CNTNAP2_ENSTGUG00000001794.2,0.0,,,,,,CNTNAP2_ENSTGUG00000001794.2,microglia 3 / radial glia
ATG9B_ENSTGUG00000022627.1,0.0,,,,,,ATG9B_ENSTGUG00000022627.1,microglia 3 / radial glia
FHOD3_ENSTGUG00000007999.2,0.0,,,,,,FHOD3_ENSTGUG00000007999.2,microglia 3 / radial glia
_ENSTGUG00000024876.1,0.0,,,,,,_ENSTGUG00000024876.1,microglia 3 / radial glia
